Category	Name	Address	City	State	PostalCode
Anonimize	Dexter District Library	8040 Fourth Street	Dexter	MI	48130
Anonimize	Dorothy Hull Library - Windsor Township	405 West Jefferson Street	Dimondale	MI	48821
Anonimize	Osceola Township School Public Library	48475 North Maple Drive	Dollar Bay	MI	49922
Anonimize	Dorr Township Library	1804 Sunset Drive	Dorr	MI	49323
Anonimize	Saugatuck-Douglas District Library	10 Mixer Street	Douglas	MI	49406
Anonimize	Dowagiac District Library	211 Commercial Street	Dowagiac	MI	49047
Anonimize	Drummond Island Library	29934 East Court Street	Drummond Island	MI	
Anonimize	Dryden Township Library	5480 Main Street	Dryden	MI	48428
Anonimize	Dundee Branch Library	144 East Main Street	Dundee	MI	
Anonimize	Durand Memorial Branch Library	700 North Saginaw Street	Durand	MI	
Anonimize	Kent District Library - East Grand Rapids	746 Lakeside Dr. Se	East Grand Rapids	MI	49506
Anonimize	Jordan Valley District Library	103 Maple Street	East Jordan	MI	49727
Anonimize	East Lansing Public Library	950 Abbot Road	East Lansing	MI	48823
Anonimize	East Tawas Branch Library	204 Sawyer Street	East Tawas	MI	
Anonimize	Iosco-Arenac District Library	120 West Westover Street	East Tawas	MI	48730
Anonimize	Eastpointe Memorial Library	15875 Oak Avenue	Eastpointe	MI	48021
Anonimize	Eaton Rapids Public Library	220 South Main Street	Eaton Rapids	MI	48827
Anonimize	Eau Claire District Library	6528 East Main Street	Eau Claire	MI	49111
Anonimize	Ecorse Public Library	4184 West Jefferson	Ecorse	MI	
Anonimize	Home Township Library	329 East Main Street	Edmore	MI	48829
Anonimize	Edwardsburg Branch Library	26745 Church Street	Edwardsburg	MI	
Anonimize	Mason-Union Branch Library	17049 U.S. Hwy. 12 East	Edwardsburg	MI	
Anonimize	Elk Rapids District Library	300 Isle Of Pines	Elk Rapids	MI	49629
Anonimize	Elsie Public Library	145 West Main Street	Elsie	MI	48831
Anonimize	Glen Lake Community Library	10115 West Front Street	Empire	MI	49630
Anonimize	Engadine Library	box 1	Engadine	MI	
Anonimize	Erie Branch Library	2065 Erie Road	Erie	MI	
Anonimize	Escanaba Public Library	400 Ludington Street	Escanaba	MI	49829
Anonimize	Evart Public Library	104 North Main Street	Evart	MI	49631
